id,name,gender,age,hukou,residence,employment,industry,monthly_income,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
94,沈晨野,男,19,本地,尖沙咀·青年公寓,,,,0.62,0.56,0.65,0.34,0.51,0.21,0.61,0.54,0.47
95,戴妍霞,女,70,本地,石澳·商品房,,,,0.51,0.57,0.36,0.37,0.70,0.17,0.30,0.59,0.23
96,姚伟晨,男,19,本地,尖沙咀·青年公寓,,,,0.59,0.51,0.21,0.60,0.41,0.42,0.51,0.50,0.66
97,谭初,女,12,本地,大坑·合租,,,,0.48,0.53,0.37,0.31,0.65,0.98,0.47,0.33,0.70
98,邱燕平,女,83,本地,幻想世界·居住区,,,,0.59,0.80,0.51,0.44,0.53,0.29,0.30,0.12,0.18
99,邓望旭,男,84,外省,炮台山·老小区,,,,0.41,0.55,0.32,0.35,0.30,0.17,0.30,0.70,0.48
100,吕新知,男,35,外省,天后·自住房,,,,0.67,0.47,0.92,0.58,0.56,0.52,0.31,0.43,0.56
101,李慧瓊,女,52,香港,橫頭磡·商品房,,,,0.45,0.70,0.80,0.75,0.80,0.50,0.25,0.75,0.30
102,陳克勤,男,50,香港,將軍澳·合租,,,,0.68,0.64,0.62,0.67,0.41,0.43,0.42,0.54,0.67
103,梁美芬,女,66,香港,大圍·居住区,,,,0.60,0.67,0.45,0.62,0.55,0.39,0.68,0.55,0.68
104,何俊賢,男,47,香港,幻想世界·合租,,,,0.62,0.41,0.43,0.52,0.39,0.47,0.42,0.49,0.50
105,陳恒鑌,男,53,香港,爛泥灣村·自住房,,,,0.49,0.37,0.66,0.62,0.37,0.49,0.68,0.54,0.44
106,葛珮帆,女,60,香港,北角舊村·老小区,,,,0.45,0.69,0.65,0.51,0.60,0.48,0.56,0.62,0.36
107,吳永嘉,男,57,香港,香港仔·商品房,,,,0.68,0.40,0.66,0.58,0.67,0.50,0.53,0.36,0.63
108,何君堯,男,64,香港,沙田·老小区,,,,0.40,0.43,0.54,0.50,0.36,0.42,0.48,0.52,0.60
109,周浩鼎,男,47,香港,跑馬地·青年公寓,,,,0.43,0.40,0.49,0.48,0.47,0.59,0.41,0.44,0.51
110,邵家輝,男,56,香港,澳仔·居住区,,,,0.66,0.39,0.62,0.64,0.70,0.63,0.60,0.58,0.46
111,陳振英,男,65,香港,香港仔·社区,,,,0.50,0.43,0.66,0.68,0.51,0.49,0.65,0.63,0.38
112,劉業強,男,60,香港,索罟灣·老小区,,,,0.64,0.42,0.45,0.36,0.65,0.54,0.44,0.35,0.36
113,鄭泳舜,男,47,香港,茅湖仔·改造社区,,,,0.52,0.66,0.67,0.65,0.59,0.37,0.40,0.65,0.70
114,李浩然,男,48,香港,小西灣·商品房,,,,0.52,0.50,0.67,0.36,0.63,0.58,0.50,0.47,0.42
115,李惟宏,男,46,香港,爛泥灣村·老小区,,,,0.50,0.55,0.51,0.62,0.44,0.45,0.63,0.58,0.43
116,李梓敬,男,42,香港,黃竹坑·合租,,,,0.40,0.56,0.36,0.45,0.54,0.58,0.61,0.38,0.66
117,李鎮強,男,50,香港,北角舊村·老小区,,,,0.56,0.45,0.51,0.59,0.59,0.68,0.50,0.57,0.49
118,吳秋北,男,56,香港,北角舊村·商品房,,,,0.40,0.37,0.41,0.52,0.43,0.41,0.53,0.52,0.46
119,吳傑莊,男,52,香港,荃灣·改造社区,,,,0.53,0.42,0.58,0.70,0.40,0.56,0.44,0.45,0.70
120,周小松,男,60,香港,北角新村·改造社区,,,,0.48,0.66,0.45,0.61,0.56,0.68,0.37,0.51,0.39
121,林哲玄,男,60,香港,北角新村·商品房,,,,0.50,0.68,0.45,0.65,0.50,0.38,0.39,0.53,0.69
122,林振昇,男,45,香港,美國小鎮大街·合租,,,,0.44,0.54,0.43,0.64,0.40,0.41,0.53,0.51,0.48
123,林琳,女,44,香港,調景嶺·改造社区,,,,0.42,0.54,0.35,0.52,0.58,0.37,0.53,0.66,0.58
124,林筱魯,男,65,香港,竹篙灣·合租,,,,0.50,0.44,0.64,0.47,0.51,0.70,0.58,0.49,0.65
125,邱達根,男,52,香港,炮台山·自住房,,,,0.58,0.51,0.65,0.47,0.49,0.57,0.46,0.65,0.60
126,姚柏良,男,52,香港,北角舊村·改造社区,,,,0.62,0.54,0.38,0.69,0.67,0.38,0.69,0.47,0.63
127,梁子穎,男,53,香港,欣澳·社区,,,,0.49,0.52,0.59,0.42,0.70,0.56,0.44,0.42,0.55
128,梁文廣,男,42,香港,調景嶺·居住区,,,,0.70,0.67,0.63,0.57,0.46,0.51,0.40,0.64,0.65
129,陳仲尼,男,60,香港,坑口·社区,,,,0.43,0.41,0.43,0.59,0.43,0.58,0.38,0.61,0.50
130,陳沛良,男,67,香港,爛泥灣村·商品房,,,,0.48,0.42,0.49,0.47,0.61,0.51,0.39,0.53,0.63
131,陳勇,男,57,香港,北角新村·改造社区,,,,0.37,0.57,0.36,0.42,0.43,0.53,0.35,0.52,0.46
132,陳祖恆,男,53,香港,茅湖仔·社区,,,,0.63,0.37,0.68,0.47,0.61,0.46,0.68,0.47,0.58
133,陳家珮,女,46,香港,土瓜灣·青年公寓,,,,0.53,0.46,0.35,0.59,0.69,0.63,0.56,0.57,0.43
134,陳曼琪,女,57,香港,茅湖仔·改造社区,,,,0.49,0.51,0.66,0.37,0.67,0.53,0.65,0.42,0.69
135,陳紹雄,男,68,香港,坑口·商品房,,,,0.54,0.58,0.46,0.60,0.39,0.66,0.67,0.64,0.41
136,陳凱欣,女,49,香港,小西灣·老小区,,,,0.35,0.42,0.62,0.37,0.51,0.70,0.66,0.58,0.39
137,陳穎欣,女,36,香港,跑馬地·居住区,,,,0.65,0.60,0.45,0.44,0.60,0.42,0.49,0.55,0.51
138,陳學鋒,男,50,香港,康山·老小区,,,,0.52,0.44,0.49,0.61,0.38,0.38,0.49,0.48,0.49
139,黃國,男,58,香港,坑口·商品房,,,,0.35,0.61,0.58,0.45,0.53,0.64,0.38,0.60,0.40
140,楊永杰,男,44,香港,北角·老小区,,,,0.41,0.37,0.45,0.68,0.56,0.60,0.40,0.49,0.55
141,管浩鳴,男,60,香港,小西灣·社区,,,,0.48,0.69,0.37,0.41,0.64,0.68,0.38,0.61,0.54
142,鄧飛,男,54,香港,茅湖仔·自住房,,,,0.66,0.61,0.38,0.42,0.63,0.45,0.46,0.70,0.70
143,鄧家彪,男,47,香港,茅湖仔·青年公寓,,,,0.59,0.66,0.63,0.61,0.40,0.46,0.47,0.46,0.48
144,劉智鵬,男,66,香港,沙田·商品房,,,,0.61,0.49,0.69,0.68,0.56,0.57,0.59,0.43,0.38
145,霍啟剛,男,47,香港,梅子林村·青年公寓,,,,0.45,0.53,0.41,0.55,0.49,0.42,0.49,0.56,0.55
146,簡慧敏,女,58,香港,官涌·改造社区,,,,0.66,0.55,0.69,0.48,0.63,0.51,0.40,0.67,0.56
147,嚴剛,男,54,香港,魷魚灣村·改造社区,,,,0.45,0.63,0.42,0.67,0.36,0.40,0.49,0.39,0.44
148,何敬康,男,49,香港,沙田·社区,,,,0.56,0.60,0.53,0.66,0.65,0.36,0.44,0.44,0.38
149,陳永光,男,63,香港,欣澳·青年公寓,,,,0.43,0.38,0.40,0.51,0.56,0.37,0.49,0.57,0.40
150,黃錦輝,男,66,香港,上環·合租,,,,0.56,0.47,0.68,0.52,0.57,0.60,0.40,0.64,0.39
151,卜國明,男,65,香港,銅鑼灣·社区,,,,0.46,0.40,0.56,0.60,0.47,0.41,0.37,0.65,0.63
152,方國珊,女,60,香港,牛池灣·社区,,,,0.51,0.65,0.38,0.57,0.42,0.69,0.46,0.52,0.50
153,文頴怡,女,53,香港,山頂·商品房,,,,0.47,0.57,0.47,0.38,0.38,0.58,0.69,0.58,0.60
154,朱立威,男,43,香港,官涌·合租,,,,0.69,0.37,0.62,0.47,0.56,0.61,0.57,0.69,0.65
155,江旻憓,女,32,香港,半山·合租,,,,0.47,0.42,0.67,0.64,0.51,0.55,0.59,0.59,0.59
156,伍煥傑,男,48,香港,欣澳·老小区,,,,0.51,0.45,0.51,0.43,0.47,0.67,0.64,0.44,0.57
157,吳英鵬,男,41,香港,香港仔·改造社区,,,,0.58,0.65,0.38,0.48,0.56,0.51,0.59,0.52,0.41
158,吳錦華,男,52,香港,赤柱·自住房,,,,0.35,0.43,0.39,0.66,0.41,0.49,0.55,0.41,0.52
159,李家駒,男,58,香港,鰂魚涌·商品房,,,,0.45,0.47,0.46,0.52,0.53,0.38,0.38,0.42,0.45
160,李廣宇,男,48,香港,西灣河·商品房,,,,0.46,0.36,0.56,0.60,0.50,0.50,0.54,0.43,0.51
161,林偉全,男,58,香港,紅磡·商品房,,,,0.69,0.57,0.46,0.52,0.62,0.48,0.48,0.54,0.59
162,林偉江,男,58,香港,西灣河·居住区,,,,0.46,0.52,0.51,0.35,0.50,0.56,0.50,0.41,0.59
163,林銘鋒,男,50,香港,香港仔·改造社区,,,,0.55,0.55,0.60,0.63,0.41,0.60,0.50,0.45,0.42
164,姚祖輝,男,60,香港,尖沙咀·合租,,,,0.39,0.51,0.46,0.50,0.46,0.58,0.42,0.64,0.36
165,姚銘,男,50,香港,鰂魚涌·合租,,,,0.70,0.58,0.50,0.43,0.40,0.52,0.62,0.59,0.52
166,范凱傑,男,48,香港,坑口·自住房,,,,0.57,0.67,0.44,0.55,0.48,0.55,0.61,0.42,0.68
167,范駿華,男,52,香港,幻想世界·居住区,,,,0.52,0.55,0.41,0.38,0.59,0.52,0.49,0.64,0.49
168,洪錦鉉,男,55,香港,佐敦谷·改造社区,,,,0.61,0.50,0.69,0.59,0.47,0.50,0.68,0.57,0.60
169,陳文宜,女,55,香港,竹篙灣·自住房,,,,0.55,0.39,0.40,0.63,0.36,0.51,0.46,0.58,0.48
170,陳宗彝,男,55,香港,坑口·社区,,,,0.52,0.58,0.38,0.60,0.66,0.58,0.51,0.58,0.68
171,陳祖光,男,55,香港,橫頭磡·商品房,,,,0.35,0.44,0.57,0.47,0.52,0.66,0.69,0.69,0.49
172,陳博智,男,50,香港,土瓜灣·商品房,,,,0.60,0.59,0.40,0.41,0.41,0.69,0.38,0.49,0.48
173,陳曉峰,男,53,香港,梅子林村·合租,,,,0.54,0.59,0.35,0.51,0.63,0.42,0.56,0.46,0.53
174,郭芙蓉,女,42,香港,赤柱·社区,,,,0.59,0.58,0.48,0.66,0.63,0.69,0.47,0.42,0.41
175,莊家彬,男,58,香港,炮台山·青年公寓,,,,0.54,0.35,0.58,0.36,0.53,0.36,0.63,0.37,0.69
176,莊豪鋒,男,42,香港,東丫背村·合租,,,,0.45,0.66,0.69,0.41,0.58,0.50,0.48,0.53,0.68
177,張培剛,男,48,香港,花園道·青年公寓,,,,0.36,0.62,0.38,0.44,0.61,0.36,0.58,0.57,0.55
178,梁進,男,41,香港,魷魚灣村·居住区,,,,0.56,0.56,0.60,0.43,0.50,0.50,0.40,0.60,0.41
179,黃永威,男,47,香港,小西灣·合租,,,,0.40,0.39,0.42,0.45,0.61,0.45,0.58,0.54,0.54
180,黃浩明,男,65,香港,欣澳·居住区,,,,0.64,0.63,0.66,0.63,0.62,0.65,0.53,0.67,0.48
181,黃錦良,男,50,香港,榕樹灣·老小区,,,,0.61,0.51,0.43,0.61,0.67,0.61,0.62,0.69,0.49
182,植潔鈴,女,38,香港,金鐘·青年公寓,,,,0.64,0.41,0.37,0.58,0.66,0.58,0.63,0.62,0.59
183,葉傲冬,男,46,香港,紅磡·改造社区,,,,0.64,0.40,0.69,0.61,0.62,0.67,0.39,0.52,0.64
184,劉文君,女,60,香港,寶林·老小区,,,,0.66,0.59,0.66,0.46,0.38,0.49,0.41,0.57,0.36
185,樓家強,男,51,香港,爛泥灣村·青年公寓,,,,0.58,0.56,0.63,0.37,0.50,0.56,0.51,0.65,0.36
186,鄧銘心,女,45,香港,灣仔·商品房,,,,0.50,0.50,0.75,0.75,0.65,0.40,0.45,0.55,0.30
187,鍾奇峰,男,38,香港,葵涌·社区,,,,0.45,0.48,0.61,0.69,0.69,0.54,0.63,0.56,0.53
188,魏明德,男,59,香港,上環·老小区,,,,0.43,0.36,0.43,0.64,0.62,0.37,0.68,0.42,0.42
189,譚鎮國,男,38,香港,美國小鎮大街·自住房,,,,0.45,0.52,0.38,0.41,0.40,0.58,0.41,0.53,0.60
190,蘇紹聰,男,64,香港,上環·商品房,,,,0.50,0.40,0.90,0.70,0.70,0.40,0.30,0.50,0.30
