id,name,gender,age,hukou,residence,employment,industry,monthly_income,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
76,程瑶瑾,女,43,外省,Hermosa·合租,employed,tech,15288,0.47,0.55,0.59,0.17,0.57,0.60,0.68,0.38,0.66
77,汤然,男,27,外省,South Branch Addition·青年公寓,employed,service,1227,0.68,0.58,0.45,0.41,0.60,0.57,0.51,0.32,0.41
78,吴伟杰,男,24,省内,Wrightwood·居住区,not_in_labor_force,none,0,0.61,0.41,0.37,0.67,0.54,0.64,0.65,0.43,0.58
79,陶嘉,男,6,外省,Lincoln Park·居住区,not_in_labor_force,none,0,0.61,0.52,0.32,0.31,0.57,0.67,0.34,0.40,0.71
80,彭然秀,女,70,本地,South Branch Addition·青年公寓,not_in_labor_force,none,2275,0.63,0.57,0.27,0.67,0.37,0.18,0.48,0.32,0.26
81,贺浩,男,17,本地,Fuller Park·合租,not_in_labor_force,none,0,0.56,0.64,0.23,0.61,0.43,0.68,0.59,0.36,0.51
82,邹涵,女,61,本地,Bryn Mawr·社区,employed,service,10611,0.68,0.53,0.59,0.51,0.34,0.50,0.38,0.62,0.42
83,宋月月,女,20,本地,South Englewood·居住区,employed,finance,11165,0.48,0.56,0.58,0.57,0.61,0.46,0.53,0.41,0.57
84,莫磊之,男,21,外省,Lincoln Park·居住区,not_in_labor_force,none,0,0.53,0.50,0.48,0.35,0.41,0.75,0.42,0.45,0.69
85,莫嘉和,女,20,外省,South Englewood·居住区,employed,trade,7472,0.60,0.48,0.58,0.34,0.39,0.52,0.32,0.35,0.87
86,龙红,女,54,本地,Avondale·改造社区,not_in_labor_force,none,0,0.36,0.74,0.48,0.61,0.20,0.63,0.30,0.58,0.29
87,戴亮,男,40,省内,Fuller Park·合租,employed,tech,11782,0.74,0.53,0.55,0.22,0.48,0.60,0.69,0.32,0.60
88,孙昊,男,26,本地,Wrightwood·居住区,not_in_labor_force,none,0,0.51,0.62,0.56,0.39,0.65,0.60,0.47,0.68,0.75
89,侯野,男,34,省内,Grand Boulevard·居住区,employed,service,3586,0.55,0.61,0.29,0.39,0.35,0.60,0.34,0.24,0.51
90,罗鹏,男,67,本地,Woodlawn·老小区,not_in_labor_force,none,2275,0.73,0.54,0.39,0.49,0.20,0.52,0.49,0.62,0.19
91,段颖雪,女,28,省内,Woodlawn·老小区,not_in_labor_force,none,0,0.63,0.63,0.26,0.21,0.30,0.54,0.55,0.31,0.61
92,付知,女,58,本地,Fuller Park·自住房,not_in_labor_force,none,0,0.55,0.57,0.63,0.42,0.39,0.40,0.45,0.24,0.29
93,邓宁,女,32,省内,Grand Boulevard·居住区,employed,service,2978,0.60,0.53,0.19,0.41,0.37,0.53,0.39,0.45,0.77
94,沈晨野,男,19,本地,Mid-North District·青年公寓,employed,tech,9646,0.62,0.56,0.64,0.34,0.51,0.21,0.61,0.54,0.47
95,戴妍霞,女,70,本地,83rd Street (South Chicago)·社区,not_in_labor_force,none,2275,0.51,0.57,0.36,0.37,0.70,0.17,0.30,0.59,0.23
96,姚伟晨,男,19,本地,Mid-North District·青年公寓,employed,tech,1703,0.59,0.51,0.20,0.60,0.41,0.42,0.51,0.50,0.66
97,谭初,女,12,本地,South Branch Addition·青年公寓,not_in_labor_force,none,0,0.48,0.53,0.37,0.31,0.65,0.98,0.47,0.33,0.70
98,邱燕平,女,83,本地,Clybourn·改造社区,not_in_labor_force,none,2275,0.59,0.80,0.51,0.44,0.53,0.29,0.30,0.12,0.18
99,邓望旭,男,84,本地,Forest Hill·合租,not_in_labor_force,none,2275,0.41,0.55,0.32,0.53,0.30,0.17,0.30,0.70,0.33
100,吕新行,女,35,外省,West Town·老小区,employed,service,4788,0.67,0.60,0.63,0.58,0.50,0.52,0.31,0.36,0.56
