id,name,gender,age,hukou,residence,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
76,方野伟,男,64,本地,Hill Block·商品房,0.61,0.59,0.54,0.53,0.32,0.50,0.47,0.43,0.40
77,孔川华,男,77,本地,Industrial Park·商品房,0.65,0.69,0.30,0.72,0.25,0.46,0.42,0.44,0.23
78,崔平同,男,33,本地,Tech Park·居住区,0.89,0.73,0.59,0.45,0.38,0.56,0.52,0.37,0.37
79,闫昊宇,男,38,本地,Lake Block·合租,0.45,0.37,0.57,0.58,0.57,0.54,0.43,0.52,0.41
80,曹新迅,男,15,外省,Industrial Park·居住区,0.69,0.72,0.67,0.36,0.55,0.70,0.43,0.34,0.78
81,郑和妍,女,20,外省,Hill Block·居住区,0.69,0.69,0.40,0.12,0.34,0.58,0.63,0.67,0.84
82,叶亮,男,91,本地,Tech Park·青年公寓,0.70,0.53,0.53,0.49,0.38,0.62,0.23,0.48,0.41
83,石萱薇,女,30,省内,Lake Block·老小区,0.70,0.33,0.65,0.44,0.48,0.69,0.53,0.49,0.73
84,黎新坤,男,81,本地,Industrial Park·改造社区,0.60,0.51,0.50,0.34,0.64,0.47,0.24,0.37,0.51
85,陶磊涛,男,24,本地,Financial District·居住区,0.58,0.50,0.55,0.62,0.53,0.51,0.45,0.15,0.35
86,郑琪安,女,28,本地,Lake Block·改造社区,0.40,0.81,0.50,0.62,0.56,0.71,0.66,0.57,0.52
87,覃和超,男,15,本地,Lake Block·老小区,0.43,0.51,0.46,0.39,0.26,0.59,0.43,0.09,0.49
88,卢红之,女,64,省内,Lake Block·自住房,0.56,0.55,0.56,0.32,0.50,0.59,0.27,0.40,0.47
89,秦晨浩,男,29,省内,Industrial Park·合租,0.48,0.51,0.15,0.31,0.66,0.60,0.47,0.39,0.91
90,陆昊轩,男,35,本地,Tech Park·居住区,0.64,0.66,0.43,0.47,0.19,0.65,0.52,0.48,0.15
91,肖丽涵,女,21,本地,Hill Block·合租,0.65,0.66,0.70,0.46,0.45,0.44,0.41,0.43,0.27
92,吕初,女,23,本地,Hill Block·合租,0.47,0.59,0.59,0.44,0.54,0.67,0.40,0.49,0.49
93,陆之,女,42,外省,East Block·商品房,0.63,0.61,0.59,0.47,0.60,0.50,0.54,0.31,0.59
94,陶琪怡,女,43,本地,Financial District·社区,0.84,0.44,0.56,0.63,0.53,0.45,0.43,0.65,0.46
95,孟初萱,女,6,外国,Lake Block·自住房,0.40,0.58,0.35,0.16,0.44,0.51,0.50,0.21,0.68
96,张琪平,女,20,本地,Tech Park·居住区,0.47,0.53,0.63,0.41,0.35,0.63,0.44,0.37,0.54
97,钱艳菲,女,88,本地,Lake Block·老小区,0.72,0.59,0.55,0.56,0.34,0.30,0.58,0.51,0.39
98,朱川超,男,28,外省,Lake Block·改造社区,0.61,0.42,0.85,0.41,0.65,0.51,0.33,0.50,0.79
99,冯妍,女,57,本地,Tech Park·改造社区,0.59,0.52,0.40,0.59,0.64,0.23,0.24,0.38,0.16
100,高明晨,男,8,本地,Lake Block·自住房,0.52,0.57,0.51,0.56,0.47,0.60,0.39,0.41,0.66
101,任燕颖,女,20,外省,Tech Park·居住区,0.68,0.78,0.38,0.21,0.48,0.43,0.31,0.79,0.63
102,董梅,女,37,外省,Hill Block·青年公寓,0.55,0.58,0.54,0.48,0.24,0.48,0.54,0.51,0.60
103,姜平,女,20,本地,Lake Block·自住房,0.51,0.70,0.43,0.86,0.49,0.51,0.68,0.43,0.57
104,韩嘉,男,55,外省,Industrial Park·老小区,0.58,0.48,0.25,0.37,0.32,0.51,0.43,0.32,0.71
105,金宸迅,男,27,本地,Lake Block·改造社区,0.61,0.41,0.73,0.82,0.44,0.50,0.63,0.56,0.47
106,程瑶瑾,女,43,外省,East Block·合租,0.47,0.55,0.59,0.17,0.57,0.60,0.68,0.38,0.66
107,汤然,男,27,外省,East Block·青年公寓,0.68,0.58,0.45,0.41,0.60,0.57,0.51,0.32,0.41
108,吴伟杰,男,24,省内,Financial District·居住区,0.61,0.41,0.37,0.67,0.54,0.64,0.65,0.43,0.58
109,陶嘉,男,6,外省,Hill Block·居住区,0.61,0.52,0.32,0.31,0.57,0.67,0.34,0.40,0.71
110,彭然秀,女,70,本地,East Block·青年公寓,0.63,0.57,0.27,0.67,0.37,0.18,0.48,0.32,0.26
111,贺浩,男,17,本地,Lake Block·合租,0.56,0.64,0.23,0.61,0.43,0.68,0.59,0.36,0.51
112,邹涵,女,61,本地,Financial District·社区,0.68,0.53,0.59,0.51,0.34,0.50,0.38,0.62,0.42
113,宋月月,女,20,本地,Tech Park·居住区,0.48,0.56,0.58,0.57,0.61,0.46,0.53,0.41,0.57
114,莫磊之,男,21,外省,Hill Block·居住区,0.53,0.50,0.48,0.35,0.41,0.75,0.42,0.45,0.69
115,莫嘉和,女,20,外省,Tech Park·居住区,0.60,0.48,0.58,0.34,0.39,0.52,0.32,0.35,0.87
116,龙红,女,54,本地,Tech Park·改造社区,0.36,0.74,0.48,0.61,0.20,0.63,0.30,0.58,0.29
117,戴亮,男,40,省内,Lake Block·合租,0.74,0.53,0.55,0.22,0.48,0.60,0.69,0.32,0.60
118,孙昊,男,26,本地,Financial District·居住区,0.51,0.62,0.56,0.39,0.65,0.60,0.47,0.68,0.75
119,侯野,男,34,省内,Tech Park·居住区,0.55,0.61,0.29,0.39,0.35,0.60,0.34,0.24,0.51
120,罗鹏,男,67,本地,Lake Block·老小区,0.73,0.54,0.39,0.49,0.20,0.52,0.49,0.62,0.19
121,段颖雪,女,28,省内,Lake Block·老小区,0.63,0.63,0.26,0.21,0.30,0.54,0.55,0.31,0.61
122,付知,女,58,本地,Lake Block·自住房,0.55,0.57,0.63,0.42,0.39,0.40,0.45,0.24,0.29
123,邓宁,女,32,省内,Tech Park·居住区,0.60,0.53,0.19,0.41,0.37,0.53,0.39,0.45,0.77
124,沈晨野,男,19,本地,Tech Park·青年公寓,0.62,0.56,0.64,0.34,0.51,0.21,0.61,0.54,0.47
125,戴妍霞,女,70,本地,Financial District·社区,0.51,0.57,0.36,0.37,0.70,0.17,0.30,0.59,0.23
126,姚伟晨,男,19,本地,Tech Park·青年公寓,0.59,0.51,0.20,0.60,0.41,0.42,0.51,0.50,0.66
127,谭初,女,12,本地,East Block·青年公寓,0.48,0.53,0.37,0.31,0.65,0.98,0.47,0.33,0.70
128,邱燕平,女,83,本地,Industrial Park·改造社区,0.59,0.80,0.51,0.44,0.53,0.29,0.30,0.12,0.18
129,邓望旭,男,84,本地,Hill Block·合租,0.41,0.55,0.32,0.53,0.30,0.17,0.30,0.70,0.33
130,吕新行,女,35,外省,Industrial Park·老小区,0.67,0.60,0.63,0.58,0.50,0.52,0.31,0.36,0.56
131,闫嘉,女,6,本地,Lake Block·自住房,0.40,0.38,0.50,0.50,0.55,0.73,0.63,0.36,0.70
132,高安萱,女,13,外省,Tech Park·改造社区,0.47,0.53,0.41,0.50,0.52,0.26,0.57,0.38,0.63
133,周嘉平,男,25,本地,Financial District·居住区,0.56,0.50,0.60,0.59,0.46,0.83,0.36,0.53,0.45
134,陆娜,女,7,本地,Financial District·老小区,0.63,0.57,0.51,0.31,0.44,0.46,0.54,0.38,0.72
135,熊健昊,男,37,本地,Tech Park·合租,0.61,0.58,0.44,0.72,0.66,0.45,0.40,0.57,0.61
136,邓帆,男,52,本地,Financial District·老小区,0.63,0.71,0.37,0.36,0.42,0.48,0.57,0.48,0.45
137,侯香野,女,28,外省,Lake Block·改造社区,0.65,0.38,0.17,0.48,0.28,0.49,0.26,0.45,0.66
138,冯知承,男,13,本地,East Block·商品房,0.51,0.65,0.37,0.37,0.40,0.64,0.58,0.42,0.31
139,向雪薇,女,38,本地,East Block·居住区,0.58,0.53,0.31,0.53,0.52,0.71,0.33,0.54,0.60
140,程子月,女,62,外省,Hill Block·改造社区,0.66,0.41,0.83,0.56,0.47,0.43,0.52,0.49,0.72
141,刘韵,女,14,省内,Lake Block·老小区,0.94,0.36,0.59,0.35,0.35,0.51,0.44,0.46,0.92
142,向勇昊,男,22,本地,Financial District·老小区,0.52,0.56,0.41,0.56,0.36,0.54,0.48,0.42,0.63
143,付辉初,男,26,本地,East Block·青年公寓,0.64,0.44,0.35,0.71,0.61,0.67,0.66,0.63,0.32
144,严亮,男,38,本地,Financial District·社区,0.57,0.65,0.48,0.48,0.48,0.39,0.24,0.33,0.45
145,钟艳,女,38,外省,Industrial Park·老小区,0.66,0.56,0.65,0.27,0.40,0.29,0.32,0.52,0.67
146,杜霖迅,男,64,本地,Hill Block·改造社区,0.59,0.68,0.33,0.42,0.55,0.25,0.45,0.55,0.36
147,卢轩承,男,27,外省,Financial District·居住区,0.59,0.62,0.44,0.37,0.41,0.52,0.31,0.32,0.71
148,何峰伟,男,53,本地,Lake Block·社区,0.49,0.64,0.32,0.75,0.44,0.30,0.44,0.54,0.10
149,闫伟坤,男,75,本地,Industrial Park·商品房,0.57,0.60,0.45,0.67,0.45,0.34,0.36,0.52,0.24
150,林航华,男,39,外国,Hill Block·居住区,0.72,0.54,0.51,0.30,0.19,0.56,0.56,0.36,0.33
151,孔红霞,女,62,本地,Lake Block·自住房,0.61,0.58,0.52,0.49,0.32,0.51,0.35,0.53,0.22
152,田瑾平,女,29,外省,Industrial Park·合租,0.60,0.40,0.61,0.33,0.68,0.56,0.69,0.36,0.66
153,于平,男,20,本地,Tech Park·居住区,0.65,0.56,0.31,0.48,0.70,0.59,0.45,0.70,0.56
154,汤锐然,男,11,外省,Lake Block·自住房,0.53,0.61,0.47,0.53,0.59,0.57,0.35,0.21,0.83
155,石梅露,女,88,本地,Hill Block·居住区,0.59,0.67,0.47,0.66,0.37,0.17,0.26,0.61,0.22
156,程航,男,59,本地,Lake Block·自住房,0.56,0.65,0.52,0.49,0.48,0.25,0.58,0.44,0.45
157,丁望萱,女,40,省内,Industrial Park·青年公寓,0.73,0.74,0.34,0.45,0.52,0.41,0.53,0.28,0.63
158,秦望露,女,7,本地,Financial District·老小区,0.46,0.56,0.41,0.39,0.38,0.60,0.52,0.34,0.74
159,钟文,男,70,省内,Hill Block·商品房,0.66,0.49,0.20,0.42,0.42,0.54,0.53,0.35,0.30
160,蒋妍露,女,21,省内,Financial District·老小区,0.62,0.61,0.36,0.41,0.61,0.57,0.40,0.60,0.76
161,谭凯,男,57,本地,Financial District·居住区,0.64,0.29,0.69,0.44,0.39,0.23,0.35,0.53,0.42
162,沈韵川,女,63,省内,Lake Block·自住房,0.51,0.53,0.39,0.28,0.57,0.46,0.11,0.30,0.59
163,高然,男,21,本地,Lake Block·自住房,0.46,0.66,0.56,0.54,0.41,0.71,0.46,0.48,0.65
164,汪晨,男,52,本地,Industrial Park·居住区,0.76,0.43,0.81,0.70,0.31,0.41,0.41,0.66,0.20
165,贾瑶涵,女,91,本地,Financial District·居住区,0.62,0.53,0.67,0.42,0.62,0.41,0.24,0.38,0.28
166,罗迅行,男,62,本地,Lake Block·自住房,0.72,0.68,0.21,0.52,0.47,0.50,0.42,0.55,0.45
167,陶薇梅,女,11,本地,Lake Block·自住房,0.63,0.60,0.33,0.48,0.53,0.73,0.43,0.46,0.73
168,毛承宸,男,8,本地,Hill Block·合租,0.55,0.67,0.39,0.57,0.54,0.71,0.62,0.60,0.66
169,朱平洋,男,31,省内,Industrial Park·合租,0.55,0.56,0.43,0.47,0.50,0.61,0.51,0.54,0.75
170,曹然,男,58,本地,Industrial Park·老小区,0.86,0.62,0.41,0.37,0.60,0.49,0.42,0.46,0.21
171,董红,女,28,外省,Tech Park·青年公寓,0.71,0.68,0.46,0.31,0.76,0.48,0.35,0.32,0.56
172,彭迅辉,男,44,本地,Financial District·居住区,0.67,0.59,0.52,0.52,0.68,0.62,0.44,0.37,0.57
173,吴望峰,男,61,本地,Financial District·社区,0.37,0.42,0.30,0.58,0.48,0.46,0.41,0.41,0.34
174,魏瑾望,女,32,外省,Industrial Park·合租,0.54,0.48,0.60,0.43,0.46,0.52,0.52,0.25,0.60
175,金敏琳,女,61,本地,Tech Park·青年公寓,0.75,0.63,0.52,0.41,0.38,0.33,0.54,0.39,0.43
176,方野伟,男,64,本地,Hill Block·商品房,0.61,0.59,0.54,0.53,0.32,0.50,0.47,0.43,0.40
177,孔川华,男,77,本地,Industrial Park·商品房,0.65,0.69,0.30,0.72,0.25,0.46,0.42,0.44,0.23
178,崔平同,男,33,本地,Tech Park·居住区,0.89,0.73,0.59,0.45,0.38,0.56,0.52,0.37,0.37
179,闫昊宇,男,38,本地,Lake Block·合租,0.45,0.37,0.57,0.58,0.57,0.54,0.43,0.52,0.41
180,曹新迅,男,15,外省,Industrial Park·居住区,0.69,0.72,0.67,0.36,0.55,0.70,0.43,0.34,0.78
181,郑和妍,女,20,外省,Hill Block·居住区,0.69,0.69,0.40,0.12,0.34,0.58,0.63,0.67,0.84
182,叶亮,男,91,本地,Tech Park·青年公寓,0.70,0.53,0.53,0.49,0.38,0.62,0.23,0.48,0.41
183,石萱薇,女,30,省内,Lake Block·老小区,0.70,0.33,0.65,0.44,0.48,0.69,0.53,0.49,0.73
184,黎新坤,男,81,本地,Industrial Park·改造社区,0.60,0.51,0.50,0.34,0.64,0.47,0.24,0.37,0.51
185,陶磊涛,男,24,本地,Financial District·居住区,0.58,0.50,0.55,0.62,0.53,0.51,0.45,0.15,0.35
186,郑琪安,女,28,本地,Lake Block·改造社区,0.40,0.81,0.50,0.62,0.56,0.71,0.66,0.57,0.52
187,覃和超,男,15,本地,Lake Block·老小区,0.43,0.51,0.46,0.39,0.26,0.59,0.43,0.09,0.49
188,卢红之,女,64,省内,Lake Block·自住房,0.56,0.55,0.56,0.32,0.50,0.59,0.27,0.40,0.47
189,秦晨浩,男,29,省内,Industrial Park·合租,0.48,0.51,0.15,0.31,0.66,0.60,0.47,0.39,0.91
190,陆昊轩,男,35,本地,Tech Park·居住区,0.64,0.66,0.43,0.47,0.19,0.65,0.52,0.48,0.15
191,肖丽涵,女,21,本地,Hill Block·合租,0.65,0.66,0.70,0.46,0.45,0.44,0.41,0.43,0.27
192,吕初,女,23,本地,Hill Block·合租,0.47,0.59,0.59,0.44,0.54,0.67,0.40,0.49,0.49
193,陆之,女,42,外省,East Block·商品房,0.63,0.61,0.59,0.47,0.60,0.50,0.54,0.31,0.59
194,陶琪怡,女,43,本地,Financial District·社区,0.84,0.44,0.56,0.63,0.53,0.45,0.43,0.65,0.46
195,孟初萱,女,6,外国,Lake Block·自住房,0.40,0.58,0.35,0.16,0.44,0.51,0.50,0.21,0.68
196,张琪平,女,20,本地,Tech Park·居住区,0.47,0.53,0.63,0.41,0.35,0.63,0.44,0.37,0.54
197,钱艳菲,女,88,本地,Lake Block·老小区,0.72,0.59,0.55,0.56,0.34,0.30,0.58,0.51,0.39
198,朱川超,男,28,外省,Lake Block·改造社区,0.61,0.42,0.85,0.41,0.65,0.51,0.33,0.50,0.79
199,冯妍,女,57,本地,Tech Park·改造社区,0.59,0.52,0.40,0.59,0.64,0.23,0.24,0.38,0.16
200,高明晨,男,8,本地,Lake Block·自住房,0.52,0.57,0.51,0.56,0.47,0.60,0.39,0.41,0.66
201,任燕颖,女,20,外省,Tech Park·居住区,0.68,0.78,0.38,0.21,0.48,0.43,0.31,0.79,0.63
202,董梅,女,37,外省,Hill Block·青年公寓,0.55,0.58,0.54,0.48,0.24,0.48,0.54,0.51,0.60
203,姜平,女,20,本地,Lake Block·自住房,0.51,0.70,0.43,0.86,0.49,0.51,0.68,0.43,0.57
204,韩嘉,男,55,外省,Industrial Park·老小区,0.58,0.48,0.25,0.37,0.32,0.51,0.43,0.32,0.71
205,金宸迅,男,27,本地,Lake Block·改造社区,0.61,0.41,0.73,0.82,0.44,0.50,0.63,0.56,0.47
206,程瑶瑾,女,43,外省,East Block·合租,0.47,0.55,0.59,0.17,0.57,0.60,0.68,0.38,0.66
207,汤然,男,27,外省,East Block·青年公寓,0.68,0.58,0.45,0.41,0.60,0.57,0.51,0.32,0.41
208,吴伟杰,男,24,省内,Financial District·居住区,0.61,0.41,0.37,0.67,0.54,0.64,0.65,0.43,0.58
209,陶嘉,男,6,外省,Hill Block·居住区,0.61,0.52,0.32,0.31,0.57,0.67,0.34,0.40,0.71
210,彭然秀,女,70,本地,East Block·青年公寓,0.63,0.57,0.27,0.67,0.37,0.18,0.48,0.32,0.26
211,贺浩,男,17,本地,Lake Block·合租,0.56,0.64,0.23,0.61,0.43,0.68,0.59,0.36,0.51
212,邹涵,女,61,本地,Financial District·社区,0.68,0.53,0.59,0.51,0.34,0.50,0.38,0.62,0.42
213,宋月月,女,20,本地,Tech Park·居住区,0.48,0.56,0.58,0.57,0.61,0.46,0.53,0.41,0.57
214,莫磊之,男,21,外省,Hill Block·居住区,0.53,0.50,0.48,0.35,0.41,0.75,0.42,0.45,0.69
215,莫嘉和,女,20,外省,Tech Park·居住区,0.60,0.48,0.58,0.34,0.39,0.52,0.32,0.35,0.87
216,龙红,女,54,本地,Tech Park·改造社区,0.36,0.74,0.48,0.61,0.20,0.63,0.30,0.58,0.29
217,戴亮,男,40,省内,Lake Block·合租,0.74,0.53,0.55,0.22,0.48,0.60,0.69,0.32,0.60
218,孙昊,男,26,本地,Financial District·居住区,0.51,0.62,0.56,0.39,0.65,0.60,0.47,0.68,0.75
219,侯野,男,34,省内,Tech Park·居住区,0.55,0.61,0.29,0.39,0.35,0.60,0.34,0.24,0.51
220,罗鹏,男,67,本地,Lake Block·老小区,0.73,0.54,0.39,0.49,0.20,0.52,0.49,0.62,0.19
221,段颖雪,女,28,省内,Lake Block·老小区,0.63,0.63,0.26,0.21,0.30,0.54,0.55,0.31,0.61
222,付知,女,58,本地,Lake Block·自住房,0.55,0.57,0.63,0.42,0.39,0.40,0.45,0.24,0.29
223,邓宁,女,32,省内,Tech Park·居住区,0.60,0.53,0.19,0.41,0.37,0.53,0.39,0.45,0.77
224,沈晨野,男,19,本地,Tech Park·青年公寓,0.62,0.56,0.64,0.34,0.51,0.21,0.61,0.54,0.47
225,戴妍霞,女,70,本地,Financial District·社区,0.51,0.57,0.36,0.37,0.70,0.17,0.30,0.59,0.23
226,姚伟晨,男,19,本地,Tech Park·青年公寓,0.59,0.51,0.20,0.60,0.41,0.42,0.51,0.50,0.66
227,谭初,女,12,本地,East Block·青年公寓,0.48,0.53,0.37,0.31,0.65,0.98,0.47,0.33,0.70
228,邱燕平,女,83,本地,Industrial Park·改造社区,0.59,0.80,0.51,0.44,0.53,0.29,0.30,0.12,0.18
229,邓望旭,男,84,本地,Hill Block·合租,0.41,0.55,0.32,0.53,0.30,0.17,0.30,0.70,0.33
