id,name,gender,age,hukou,residence,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
23,于平,男,20,外省,袍江新区·居住区,0.65,0.52,0.41,0.30,0.61,0.59,0.45,0.59,0.71
24,汤锐然,男,11,外省,八里桥村·居住区,0.53,0.61,0.47,0.53,0.59,0.57,0.35,0.21,0.83
25,石梅露,女,51,本地,湖塘街道·居住区,0.59,0.67,0.47,0.66,0.40,0.25,0.32,0.65,0.32
26,程岑,女,25,本地,黄贤村·自住房,0.56,0.54,0.76,0.49,0.48,0.39,0.69,0.44,0.62
27,丁望昊,男,57,本地,吟龙村·青年公寓,0.73,0.70,0.43,0.63,0.55,0.34,0.47,0.31,0.39
28,秦望帆,男,36,外省,长巷村·老小区,0.46,0.58,0.37,0.21,0.38,0.50,0.43,0.34,0.76
29,钟文,女,21,外省,黄贤村·自住房,0.66,0.39,0.42,0.42,0.51,0.74,0.70,0.46,0.55
30,蒋睿亮,男,70,本地,娄宫村·老小区,0.62,0.62,0.35,0.59,0.58,0.38,0.24,0.57,0.36
31,谭涵,女,57,本地,群谊村·居住区,0.64,0.41,0.43,0.44,0.33,0.23,0.35,0.46,0.42
32,沈锐川,男,32,省内,联合村·自住房,0.51,0.40,0.68,0.28,0.63,0.59,0.21,0.38,0.74
33,高然,男,70,本地,瓜沥镇·青年公寓,0.46,0.69,0.51,0.54,0.29,0.52,0.29,0.33,0.41
34,汪晨,男,16,本地,新塘头村·改造社区,0.76,0.56,0.53,0.70,0.28,0.56,0.53,0.62,0.38
35,贾瑶涵,女,64,本地,湖塘街道·合租,0.62,0.53,0.67,0.42,0.62,0.44,0.26,0.38,0.31
36,罗宁行,女,86,本地,建盈村·商品房,0.72,0.68,0.21,0.52,0.41,0.46,0.39,0.48,0.41
37,陶嘉轩,男,26,外省,八里桥村·居住区,0.63,0.58,0.37,0.30,0.53,0.67,0.38,0.46,0.80
38,毛承宸,男,8,本地,娄宫村·老小区,0.55,0.67,0.39,0.57,0.48,0.71,0.62,0.53,0.66
39,朱平洋,男,31,本地,娄宫村·老小区,0.55,0.57,0.40,0.65,0.47,0.61,0.51,0.50,0.60
40,曹然,男,42,外省,运西村·老小区,0.86,0.64,0.38,0.19,0.69,0.55,0.47,0.57,0.44
41,董宸,男,47,本地,府山街道·商品房,0.71,0.63,0.57,0.49,0.76,0.40,0.29,0.32,0.32
42,彭宁婷,女,11,本地,群谊村·居住区,0.67,0.61,0.48,0.52,0.65,0.75,0.55,0.34,0.74
43,吴望月,女,28,本地,齐贤街道·改造社区,0.37,0.30,0.57,0.58,0.57,0.59,0.52,0.51,0.50
44,魏彬望,男,63,本地,新塘头村·改造社区,0.54,0.51,0.54,0.61,0.43,0.40,0.42,0.21,0.29
45,金磊健,男,28,外国,北海街道·青年公寓,0.75,0.56,0.69,0.23,0.50,0.46,0.65,0.53,0.74
46,方知芳,女,54,本地,福全街道·老小区,0.61,0.63,0.44,0.53,0.35,0.54,0.51,0.47,0.45
47,孔川华,男,59,本地,吟龙村·青年公寓,0.65,0.69,0.30,0.72,0.31,0.50,0.46,0.51,0.29
48,崔平同,女,33,本地,联合村·自住房,0.89,0.83,0.37,0.45,0.32,0.56,0.52,0.30,0.37
49,闫萱玲,女,8,本地,群谊村·居住区,0.45,0.49,0.28,0.58,0.51,0.66,0.53,0.45,0.55
50,曹新迅,男,86,外省,瓜沥镇·青年公寓,0.69,0.72,0.67,0.36,0.52,0.48,0.24,0.31,0.51
51,郑和妍,女,20,外省,下溇·社区,0.69,0.64,0.52,0.12,0.40,0.58,0.63,0.74,0.84
52,叶亮,男,17,省内,万安村·改造社区,0.70,0.53,0.53,0.31,0.38,0.84,0.40,0.48,0.82
53,石昊嘉,男,62,本地,湖塘街道·合租,0.70,0.41,0.47,0.62,0.36,0.56,0.43,0.35,0.42
54,黎新琪,女,12,省内,八里桥村·居住区,0.60,0.51,0.50,0.16,0.55,0.70,0.43,0.26,0.95
55,陶磊涛,男,59,本地,群谊村·居住区,0.58,0.55,0.46,0.62,0.50,0.37,0.33,0.12,0.18
56,郑坤安,男,13,本地,府山街道·商品房,0.40,0.81,0.50,0.62,0.47,0.77,0.71,0.46,0.60
57,覃和超,男,86,本地,群谊村·居住区,0.43,0.51,0.46,0.39,0.32,0.37,0.24,0.16,0.22
58,卢红之,女,34,省内,长巷村·老小区,0.56,0.56,0.65,0.32,0.59,0.46,0.37,0.51,0.62
59,秦怡倩,女,29,本地,建盈村·商品房,0.48,0.51,0.15,0.49,0.63,0.60,0.47,0.35,0.76
60,陆昊轩,男,18,本地,友谊村·居住区,0.64,0.66,0.43,0.47,0.22,0.72,0.57,0.51,0.23
61,肖丽涵,女,21,本地,北海街道·改造社区,0.65,0.78,0.44,0.46,0.39,0.44,0.41,0.36,0.27
62,吕初,男,23,省内,北海街道·改造社区,0.47,0.51,0.77,0.26,0.54,0.67,0.40,0.49,0.64
63,陆之,男,10,省内,杨汛桥街道·改造社区,0.63,0.61,0.59,0.47,0.51,0.63,0.65,0.21,0.75
64,陶琪怡,女,76,本地,群谊村·居住区,0.84,0.48,0.48,0.63,0.50,0.34,0.34,0.62,0.32
65,孟望昊,男,6,外省,下溇·社区,0.40,0.58,0.35,0.16,0.47,0.51,0.50,0.25,0.68
66,张琪平,女,56,本地,杨汛桥街道·改造社区,0.47,0.55,0.59,0.41,0.35,0.48,0.32,0.37,0.36
67,钱涛骏,男,51,本地,建盈村·商品房,0.72,0.59,0.55,0.56,0.34,0.38,0.64,0.51,0.48
68,朱川超,男,28,本地,八里桥村·居住区,0.61,0.42,0.85,0.59,0.68,0.51,0.33,0.54,0.64
69,冯妍,女,39,外省,万安村·改造社区,0.59,0.43,0.59,0.41,0.64,0.30,0.30,0.38,0.40
70,高霞怡,女,56,本地,运西村·社区,0.52,0.53,0.52,0.56,0.47,0.67,0.24,0.41,0.43
71,任燕颖,女,37,外省,万安村·改造社区,0.68,0.73,0.50,0.21,0.51,0.36,0.26,0.83,0.55
72,董梅,女,19,外省,新桥村·老小区,0.55,0.61,0.47,0.48,0.18,0.55,0.60,0.44,0.69
73,姜和,男,20,省内,新桥村·老小区,0.51,0.70,0.43,0.68,0.46,0.51,0.68,0.39,0.72
74,韩荷,女,66,本地,八里桥村·居住区,0.58,0.48,0.25,0.55,0.32,0.46,0.39,0.32,0.51
75,金梅宁,女,27,省内,北海街道·青年公寓,0.61,0.52,0.48,0.64,0.41,0.50,0.63,0.52,0.62
76,程坤彬,男,43,本地,迪荡街道·合租,0.47,0.59,0.51,0.35,0.54,0.60,0.68,0.34,0.51
77,汤然,男,27,本地,群谊村·居住区,0.68,0.51,0.61,0.59,0.66,0.57,0.51,0.40,0.26
78,吴伟杰,男,24,本地,黄贤村·自住房,0.61,0.30,0.62,0.85,0.51,0.64,0.65,0.39,0.43
79,陶荷,女,6,省内,下溇·社区,0.61,0.52,0.32,0.31,0.60,0.67,0.34,0.44,0.71
80,彭然秀,女,57,外省,甘露亭村·社区,0.63,0.60,0.21,0.49,0.40,0.23,0.52,0.35,0.48
