id,name,gender,age,hukou,residence,emotion,stress,econ_security,city_identity,policy_sensitivity,platform_dependence,risk_preference,voice_propensity,mobility_intent
73,姜平,女,20,本地,兰亭街道·自住房,0.51,0.70,0.43,0.86,0.49,0.51,0.68,0.43,0.57
74,韩荷,女,36,本地,斗门街道·商品房,0.58,0.54,0.12,0.55,0.38,0.58,0.49,0.39,0.66
75,金宸迅,男,27,外省,东浦街道·改造社区,0.61,0.45,0.65,0.64,0.44,0.50,0.63,0.56,0.62
76,程坤彬,男,43,外省,马山街道·老小区,0.47,0.55,0.59,0.17,0.63,0.60,0.68,0.45,0.66
77,汤然,男,27,外省,下市头社区·居住区,0.68,0.51,0.61,0.41,0.60,0.57,0.51,0.32,0.41
78,吴伟杰,男,24,外省,北海街道·居住区,0.61,0.34,0.53,0.67,0.57,0.64,0.65,0.46,0.58
79,陶嘉,男,6,省内,东湖街道·青年公寓,0.61,0.52,0.32,0.31,0.57,0.67,0.34,0.40,0.71
80,彭然秀,女,70,本地,叶家堰居·改造社区,0.63,0.57,0.27,0.67,0.37,0.18,0.48,0.32,0.26
81,贺浩,男,17,本地,埠头居·居住区,0.56,0.64,0.23,0.61,0.43,0.68,0.59,0.36,0.51
82,邹涵,女,61,本地,梅墅水庄社区·社区,0.68,0.61,0.41,0.51,0.31,0.50,0.38,0.59,0.42
83,宋月月,女,20,外省,袍江新区·居住区,0.48,0.60,0.50,0.39,0.61,0.46,0.53,0.41,0.72
84,莫磊之,男,21,省内,联谊·商品房,0.53,0.55,0.27,0.35,0.44,1.00,0.42,0.48,0.69
85,莫嘉和,女,20,外省,袍江新区·居住区,0.60,0.58,0.36,0.34,0.39,0.52,0.32,0.35,0.87
86,龙泽,男,54,本地,孙端街道·社区,0.36,0.74,0.48,0.61,0.26,0.63,0.30,0.65,0.29
87,戴岑,女,22,省内,东浦街道·合租,0.74,0.56,0.48,0.22,0.57,0.67,0.75,0.43,0.69
88,孙昊,男,26,省内,东浦街道·改造社区,0.51,0.62,0.56,0.21,0.65,0.60,0.47,0.68,0.90
89,侯野,男,34,外省,袍江新区·自住房,0.55,0.65,0.21,0.39,0.35,0.60,0.34,0.24,0.51
90,罗鹏,男,67,省内,新未庄社区·老小区,0.73,0.54,0.39,0.31,0.23,0.52,0.49,0.65,0.34
91,段然健,男,28,外省,叶家堰居·改造社区,0.63,0.63,0.26,0.21,0.42,0.54,0.55,0.45,0.61
92,付知,女,58,本地,梅墅水庄社区·社区,0.55,0.58,0.61,0.42,0.39,0.40,0.45,0.24,0.29
93,邓宁,女,32,本地,㹧𱮒湖村·居住区,0.60,0.37,0.55,0.59,0.37,0.53,0.39,0.45,0.62
94,沈晨野,男,19,本地,城南街道·青年公寓,0.62,0.56,0.65,0.34,0.51,0.21,0.61,0.54,0.47
95,戴妍霞,女,70,本地,金庄村·商品房,0.51,0.57,0.36,0.37,0.70,0.17,0.30,0.59,0.23
96,姚伟晨,男,19,本地,城南街道·青年公寓,0.59,0.51,0.21,0.60,0.41,0.42,0.51,0.50,0.66
97,谭初,女,12,本地,三佳居·合租,0.48,0.53,0.37,0.31,0.65,0.98,0.47,0.33,0.70
98,邱燕平,女,83,本地,下市头社区·居住区,0.59,0.80,0.51,0.44,0.53,0.29,0.30,0.12,0.18
99,邓望旭,男,84,外省,马山街道·老小区,0.41,0.55,0.32,0.35,0.30,0.17,0.30,0.70,0.48
100,吕新知,男,35,外省,袍江新区·自住房,0.67,0.47,0.92,0.58,0.56,0.52,0.31,0.43,0.56
